name,artist,release_date,length,featured_artists
Carouselambra - Remaster,Led Zeppelin,01/01/1979,1056688333,"Scorpions, Chilliwack, R.E.M., Frank Zappa, Saxon"
Runaway,The Corrs,01/01/1995,4418883333,"Metallica, System Of A Down, Sam Cooke, Faith No More, The Cardigans"
I Drink Alone,George Thorogood & The Destroyers,01/01/1985,3157-02-13,"Slade, Beastie Boys, Dio"
Live Wire,AC/DC,01/01/1976,5.81,Rainbow
Ready to Start,Arcade Fire,01/01/2010,4264883333,"P.O.D., Black Flag, Cage The Elephant, Paramore"
Blacken My Thumb,The Datsuns,01/01/2004,2768883333,"Megadeth, Opshop, The Bravery"
I Love My Leather Jacket,The Chills,01/01/1986,9811-02-01,"Accept, The Quireboys"
Portrait (He Knew),Kansas,01/01/1977,4600433333,Triumph
Cendrillon - Remasterisé en 2015,Téléphone,01/01/1982,3975766667,"Robert Plant, Asia, Eddie Money, Warren Zevon"
The E Street Shuffle,Bruce Springsteen,01/01/1973,4456666667,"Mott The Hoople, Cheap Trick, The Who, Rare Earth, T. Rex"
Boulevard,Jackson Browne,01/01/1980,3346666667,"Ozzy Osbourne, David Lindley, Bruce Springsteen"
Superstar/ Rainy Days & Mondays/Goodbye To Love - Live 1974,Carpenters,01/01/2020,6332-07-01,
Royal Oil,The Mighty Mighty Bosstones,01/01/1997,2648883333,
One Step Ahead,Split Enz,01/01/1981,2863766667,
Cigarettes Will Kill You,Ben Lee,01/01/1998,3832216667,
Shine,Starseed,01/01/2020,6176-03-01,"The Cars, Rival State, Various Artists, The Cars"
Big Sur,The Thrills,01/01/2003,1908-07-18,"The Smashing Pumpkins, Billy Talent"
Life,Our Lady Peace,01/01/2000,3100-09-20,
I Don't Want to Be - Stripped Version,Gavin DeGraw,01/01/2004,4072216667,"Tribalistas, The Yardbirds, PJ Harvey, Chubby Checker, Jet"
Stealin',Uriah Heep,01/01/1973,3219-07-18,"Traffic, Led Zeppelin, Lou Reed, Rod Stewart"
Ghostbusters,Various Artists,01/01/1984,4093333333,
Let Us Hear Your Voice,Pennywise,01/01/2012,3734433333,
Spin the Black Circle - Remastered,Pearl Jam,01/01/1994,2664-11-04,"Sevendust, Faith No More"
Heaven Is in the Back Seat of My Cadillac,Hot Chocolate,01/01/1976,5165333333,
Sk8er Boi,Avril Lavigne,01/01/2002,2025-04-03,Muse
Does Anybody Really Know What Time It Is?,Chicago,01/01/1975,3368883333,"Earth, Wind & Fire, Yes"
Suzie Sunshine,Buffalo,01/01/1972,1907-12-07,Starz
High Enough,Damn Yankees,01/01/1990,4788666667,"Nine Inch Nails, Crowded House, Cheap Trick"
Take It Away,The Used,01/01/2004,3632433333,The Tea Party
Better,The Screaming Jets,01/01/1991,4.62,"Paul Young, Siouxsie and the Banshees, INXS, Stevie Nicks, Dada"
I'm Bad,ZZ Top,01/01/1992,4774883333,"54-40, Queen"
Brontosaurus,The Move,01/01/1970,3127-07-21,"James Gang, April Wine"
Minerva,Deftones,01/01/2003,4296883333,"Sum 41, Crossfade, Nickelback, Radiohead, The Black Keys"
One Day at a Time,Lynyrd Skynyrd,01/01/2012,3770216667,"King Gizzard & The Lizard Wizard, King Gizzard & The Lizard Wizard, Black Light Burns, Dr. Dog, Triumph"
Locomotion,Kylie Minogue,01/01/1987,3216666667,Dead Kennedys
Down the Dustpipe,Status Quo,01/01/1970,2040883333,"Hot Tuna, The Flying Burrito Brothers"
Blowin' Free,Wishbone Ash,01/01/1972,3171-05-01,
Chinatown,Thin Lizzy,01/01/1980,4716666667,
Sunset Grill,Don Henley,01/01/1984,6316666667,"Divinyls, Grace Jones, Squeeze, ZZ Top, George Harrison"
Angel,Jimi Hendrix,01/01/1997,4381333333,
10 A.M. Automatic,The Black Keys,01/01/2004,2717-05-31,"Bush, Chimaira, Deftones, Imperiet"
9 to 5,Dolly Parton,01/01/1980,2707766667,
Holocene,Bon Iver,01/01/2011,5610216667,"Ann Peebles, Various Artists, Radiohead"
Rock Me,Great White,01/01/1987,7316666667,"Blue Rodeo, Black Flag"
New York Groove,Hello,01/01/2001,2756433333,"Elbow, KISS, Belle & Sebastian"
Long Way Down,The Goo Goo Dolls,01/01/1995,4751-03-01,"Machine Head, Duran Duran, Fenix TX, LEN, Our Lady Peace"
Twice As Hard,The Black Crowes,01/01/1990,4158883333,
Spread Your Wings - Remastered 2011,Queen,01/01/1977,4570433333,George Harrison
Rollover D.J.,Jet,01/01/2003,3276666667,"Coal Chamber, Imperiet, Various Artists, Tantric"
Thirty-Three - Remastered 2012,The Smashing Pumpkins,01/01/1995,3042-02-16,"Styx, Leonardo's Bride"
Downhearted - Remastered,Australian Crawl,01/01/1980,3.15,"Foreigner, Simple Minds, The Clash"
MakeDamnSure,Taking Back Sunday,01/01/2006,3471333333,My Chemical Romance
Make It Stop (September's Children),Rise Against,01/01/2011,9131-03-01,"Halestorm, Silversun Pickups, The Strokes, Fall Out Boy, Foster The People"
Reflections,Diana Ross & The Supremes,01/01/1968,2675-04-01,
Rock n' Roll Is a Vicious Game - Live,April Wine,01/01/2010,4153333333,"Status Quo, Rustic Overtones"
Lucky,Seven Mary Three,01/01/2010,4206433333,"Robert Plant, Various Artists"
Carnival of Rust,Poets of the Fall,01/01/2006,4382433333,"Chubby Checker, Foo Fighters, Oasis, The Mars Volta"
Immigration Man,Crosby & Nash,01/01/1972,2981766667,Rod Stewart
See the Light,The Jeff Healey Band,01/01/1988,4448883333,"Little River Band, Colin James, The Cure, Bad Brains"
I'll Take The Rain,R.E.M.,01/01/2001,5857766667,"The Smashing Pumpkins, Peter Frampton, Velvet Revolver, Supergrass"
A Long December,Counting Crows,01/01/1996,4917766667,"Portishead, George Michael, Coldplay"
Freya,The Sword,01/01/2006,4573333333,"Finger Eleven, Finch"
I'm Now,Mudhoney,01/01/2008,2681333333,"Van Halen, Chickenfoot, Sam Roberts Band, Big Sugar, Thee Oh Sees"
Saturday Night - 2011 Remastered,Cold Chisel,01/01/2011,3092-11-20,Oasis
Running Away,Hoobastank,01/01/2001,1908-02-21,"David Gray, Stevie Ray Vaughan"
To the Moon & Back,Savage Garden,01/01/1997,5684433333,"Sublime, Manic Street Preachers, Barenaked Ladies"
The Witch,The Sonics,01/01/2011,2644666667,"10 Years, Pearl Jam, Incubus, The Stooges, Weezer"
The Devil Takes Care of His Own,Band Of Skulls,01/01/2012,2025-08-03,"King Gizzard & The Lizard Wizard, Little Richard, Johnny Burnette & The Rock 'N' Roll Trio, The Whitlams"
She Works Hard For The Money,Donna Summer,01/01/1983,5347333333,
If You Know What I Mean - Live At The Greek Theatre,Neil Diamond,01/01/1977,4177766667,
Indestructible,Disturbed,01/01/2008,4633766667,"MGMT, Breaking Benjamin, The Killers, Jet"
Tube Snake Boogie,ZZ Top,01/01/1981,3063333333,"R.E.M., Thin Lizzy"
Our Truth,Lacuna Coil,01/01/2006,4051766667,"James Brown, Sweet, Electric Wizard"
Oh Yeah,Chickenfoot,01/01/2009,3241-06-12,Iron Maiden
Shoot the Runner,Kasabian,01/01/2004,3456216667,"The Shins, Alkaline Trio"
Only The Lonely - Remastered 1999,The Motels,01/01/1982,3.27,
Send Me An Angel,Real Life,01/01/1983,3942433333,"The Jam, Living Colour, Dio"
What the Hell,Avril Lavigne,01/01/2011,6771-03-01,"Shiny Toy Guns, Bad Company, Country Joe & The Fish"
Heart of the City,Nick Lowe,01/01/2008,2.13,"Villainy, Mudhoney, The Fratellis, The Mighty Mighty Bosstones"
Hollywood,Streetheart,01/01/1979,3312866667,"Scorpions, Whitesnake, Spandau Ballet, Madness"
Look at Little Sister,Stevie Ray Vaughan,01/01/2002,2755-09-29,"M.I.A., Starsailor, Matchbox Twenty"
Greed,Godsmack,01/01/2007,3470666667,"Santana, Hurts"
3's & 7's,Queens of the Stone Age,01/01/2007,3567766667,"The Used, Godsmack, Motörhead, Shinedown, Modest Mouse"
Galileo,Indigo Girls,01/01/1992,1911-07-17,"Sophie B. Hawkins, Depeche Mode, Beastie Boys, Nine Inch Nails, Superdrag"
Narcissistic Cannibal (feat. Skrillex & Kill the Noise),Korn,01/01/2011,3178433333,Incubus
The Promise,When In Rome,01/01/1988,3682666667,"Mötley Crüe, Neil Young"
Crime Of The Century - Remastered,Supertramp,01/01/1974,5549866667,"Steely Dan, Bruce Springsteen, Pink Floyd, AC/DC, Stevie Wonder"
Green-Tinted Sixties Mind - 2010 Remastered Version,Mr. Big,01/01/1991,3506883333,"King Missile, Van Halen, Cocteau Twins, D-A-D"
Free Your Mind,En Vogue,01/01/1992,4885083333,"Stevie Ray Vaughan, Bad Religion, Faith No More, Pulp"
Street Of Dreams,Rainbow,01/01/1983,4251-04-01,"XTC, Divinyls, Molly Hatchet, Téléphone, Stevie Ray Vaughan"
The Denial Twist,The White Stripes,01/01/2005,2596216667,"Slash, The Black Angels"
Florida Sunshine,Afa,01/01/2006,3486883333,"Crematory, Old 97's"
In My Time of Dying - 1990 Remaster,Led Zeppelin,01/01/1975,1109333333,"The Who, Bachman-Turner Overdrive, Nazareth"
Tokyo (Vampires & Wolves),The Wombats,01/01/2011,3758766667,
Brianstorm,Arctic Monkeys,01/01/2007,8811-02-01,"Linkin Park, Finger Eleven, Anberlin, Billy Talent"
We Belong,Pat Benatar,01/01/1984,2909-01-24,"Eagles, Guns N' Roses"
Sky Pilot,Eric Burdon & the Animals,01/01/1968,3971-07-01,"Dusty Springfield, Buffalo Springfield, Humble Pie, Blood, Sweat & Tears"
Being For The Benefit Of Mr. Kite! - Remastered 2009,The Beatles,01/01/1967,2618-11-06,"The Rolling Stones, Thunderclap Newman, Yes, Aretha Franklin"
Love Rears Its Ugly Head,Living Colour,01/01/1990,4324433333,
Mandolin Wind,Rod Stewart,01/01/1971,5609333333,"The Youngbloods, Dusty Springfield, Neil Young"
Hard to Be Human Again,Mekons,01/01/1985,3980216667,"Jimmy Barnes, Kim Mitchell, Ebba Grön, Chilliwack, Todd Rundgren"
Do You Remember Rock 'n' Roll Radio? - 2002 Remaster,Ramones,01/01/1980,3824433333,"Rush, Van Halen"
Day of the Eagle - 2007 Remaster,Robin Trower,01/01/1974,0431-05-01,"Brownsville Station, The Cars, KISS, Slade, Bruce Springsteen"
These Days,Powderfinger,01/01/2000,3262-04-03,"Five For Fighting, Elvis Presley, Chris Isaak"
So Happy,Theory of a Deadman,01/01/2008,4197333333,Oasis
Monster Love - Goldfrapp vs. Spiritualized,Goldfrapp,01/01/2008,6171-05-01,"The Crazy Horses, The Crazy Horses, The Rock Heroes, Rustic Overtones"
Dancing On The Ceiling,Lionel Richie,01/01/1986,1912-05-08,"Duran Duran, Whitesnake, Billy Idol"
Along Came Jones,The Coasters,01/01/2006,2712-06-26,"Huey ""Piano"" Smith, Five Man Electrical Band"
Silver Springs - 2004 Remaster,Fleetwood Mac,01/01/1977,8131-04-01,
Empty Spaces,Pink Floyd,01/01/1979,1305-02-01,"Exile, Eagles"
Fade,Staind,01/01/2001,4043333333,"The Datsuns, In Flames, Four Tops, Midnight Oil"
Little Pills,Devilskin,01/01/2014,3071-03-01,Various Artists
Promises,Incubus,01/01/2011,4432666667,"Bertie Higgins, Phil Collins"
As Tears Go By,Marianne Faithfull,01/01/2018,1907-03-16,
Found Out About You,Gin Blossoms,01/01/1992,3.89,"The Smashing Pumpkins, The Northern Pikes, Nada Surf, The Offspring"
There's Only One Way To Rock,Sammy Hagar,01/01/1981,4254433333,Gang Of Four
Leech,Eve 6,01/01/1998,3976666667,"The Who, Teenage Fanclub, Beck"
Computer Games,Mi-Sex,01/01/1979,2963-10-28,"The Outlaws, Loverboy, Cheap Trick, Streetheart, Deep Purple"
Rock Steady (Made Famous by Bryan Adams & Bonnie Raitt),The Rock Heroes,01/01/2010,2972-01-04,"Sunfly Karaoke, Sidecar Radio, La Douche, Goldfrapp, The Crazy Horses"
Caravan,Rush,01/01/2012,5663333333,"Drowning Pool, King Gizzard & The Lizard Wizard, Ty Segall, Papa Roach, Airbourne"
Stuck Inside of Mobile with the Memphis Blues Again,Bob Dylan,01/01/1966,0611-07-01,"The Troggs, The Rascals, The Rolling Stones, Santana"
Take Me Back,Bryan Adams,01/01/1983,4698433333,"Natalie Cole, Whitesnake, Thin Lizzy"
You Got It,Roy Orbison,01/01/1989,3504433333,"Fleetwood Mac, Bonnie Raitt, TOOL"
Bring Me Some Water,Melissa Etheridge,01/01/1988,3883333333,"Donna Summer, Imperiet, The Sonics"
Ready for Love - 2015 Remaster,Bad Company,01/01/1974,9971-04-01,"Styx, Pink Floyd, Uriah Heep, Electric Light Orchestra"
Jammin' Me,Tom Petty and the Heartbreakers,01/01/1987,3036-08-26,"Europe, James Brown, Europe"
With A Girl Like You,The Troggs,01/01/1966,2486-05-01,"The Byrds, The Beatles, Black Sabbath, The Who, The Beatles"
Rock And Roll Music - Remastered 2009,The Beatles,01/01/1964,2521333333,
The Crunge - Remaster,Led Zeppelin,01/01/1973,3295066667,"Bruce Springsteen, Hawkwind, The Beatles, Television"
I Don't Want A Lover,Texas,01/01/1989,2025-01-05,Alice In Chains
Übers Ende der Welt - Single Version,Tokio Hotel,01/01/2007,3556883333,
I Love the Night,Blue Öyster Cult,01/01/1977,4398666667,"Jethro Tull, Deep Purple, Uriah Heep, Bachman-Turner Overdrive"
Fly from the Inside,Shinedown,01/01/2003,3919333333,blink-182
Lonely Ol' Night,John Mellencamp,01/01/1985,3752883333,Ramones
We Got The Beat,The Go-Go's,01/01/1981,2552216667,
The Answer,Villainy,01/01/2012,4179566667,"Done Again, Killing Joke, Nick Lowe"
What About Me?,Moving Pictures,01/01/1981,3616883333,"April Wine, Bryan Adams, Honeymoon Suite"
Remember,Disturbed,01/01/2002,4140433333,"Gary Moore, Sleater-Kinney, Finch"
Because the Night - Live Unplugged,10,01/01/1993,3722883333,Midnight Oil
I Want You,Bob Dylan,01/01/1966,3086666667,Loggins & Messina
I Go to Sleep - 2006 Remaster,Pretenders,01/01/1981,2946433333,The Pogues
Leather and Lace - Stevie Nicks and Don Henley,Players Since Creation,01/01/2014,3710216667,"Stingray Music, Super Tamarindo All Stars, ProSource Karaoke, The Karaoke Channel"
Hey,ICEHOUSE,01/01/1982,4111-04-01,The Who
20th Century Man,The Kinks,01/01/1971,5989266667,"Alice Cooper, Wishbone Ash"
All Around Me,Flyleaf,01/01/2005,3307766667,"Gossip, Incubus, Trapt, Papa Roach"
Similar Features,Melissa Etheridge,01/01/1988,3183-12-14,
Misery Business,Paramore,01/01/2007,3525333333,"Evanescence, Linkin Park, Arctic Monkeys, Linkin Park, Eddie Vedder"
Rock This Town,Stray Cats,01/01/1982,3.45,The Gregg Allman Band
People Get Ready,Jeff Beck,01/01/1985,4878216667,"Bruce Springsteen, Prince"
Coz I Luv You,Slade,01/01/1973,4271-03-01,Joni Mitchell
Give It to Me,The J. Geils Band,01/01/1973,5011-06-01,"Steely Dan, Neil Young, The Who"
My Friends Over You,New Found Glory,01/01/2002,3.67,"Saliva, OPM, Natalie Imbruglia, Linkin Park, Placebo"
All Down The Line,The Rolling Stones,01/01/1972,3824883333,"The Damned, Sex Pistols"
Third Stone From The Sun,Jimi Hendrix,01/01/1967,6737766667,"Four Tops, Todd Rundgren, The Kinks, Yes, Isaac Hayes"
Amongster,POLIÇA,01/01/2012,3992666667,"Bif Naked, King Gizzard & The Lizard Wizard"
You Never Can Tell,Chuck Berry,01/01/1964,2698433333,Jimi Hendrix
Sunshine Highway,Dropkick Murphys,01/01/2005,3366666667,"Chevelle, AFI"
The Heart Of Rock And Roll,Huey Lewis & The News,01/01/2013,1913-11-29,
Rush You,Baby Animals,01/01/1991,4184433333,Amanda Marshall
All I Need Is A Miracle,Mike & The Mechanics,01/01/1985,4163766667,"Talking Heads, Ramones, Whitesnake, Chilliwack"
Bodhisattva,Steely Dan,01/01/1973,5283333333,
Anthem of Our Dying Day,Story Of The Year,01/01/2003,3600433333,"The Beatles, Rob Thomas, The Used, Fuel"
Sexx Laws,Beck,01/01/1999,1910-01-01,Foo Fighters
The Warrior (feat. Patty Smyth),Scandal,01/01/1984,4013766667,"The The, Rainbow, Traveling Wilburys, John Lennon"
Show Me What I'm Looking For,Carolina Liar,01/01/2008,4007766667,"The Killers, Green Day, The Wombats, Korn"
Capital G,Nine Inch Nails,01/01/2007,3827766667,"Various Artists, Iron Maiden"
I Gotsta Get Paid,ZZ Top,01/01/2012,4052666667,
Get It While You Can,Janis Joplin,01/01/1971,3.39,Bachman-Turner Overdrive
Stitches,Orgy,01/01/1998,3309333333,"Metallica, The Hellacopters, The Tragically Hip, Chris Cornell"
Harley & Rose,The Black Sorrows,01/01/1990,3913333333,"The Fabulous Thunderbirds, Melissa Etheridge"
Sail Away To Avalon,Ayreon,01/01/1995,4038216667,
Land of Hopes and Dreams,The Hit Co.,01/01/2006,4749733333,CMH Steel
Burn for You,John Farnham,01/01/1990,3548883333,"Crash Test Dummies, The Tragically Hip, PJ Harvey, Talk Talk"
Tattoo,Van Halen,01/01/2012,4717333333,"Switchfoot, Ty Segall, Black River Drive, Jimmy Barnes, Lynyrd Skynyrd"
Looking For A Place To Happen - Remix,The Tragically Hip,01/01/2005,4536216667,"Kings of Leon, the feelers"
Becoming the Bull,Atreyu,01/01/2007,3676666667,"Audioslave, Janis Joplin, Ozzy Osbourne, Redlight King"
Good Golly Miss Molly,Creedence Clearwater Revival,01/01/1969,2638-07-24,"Aerosmith, The Byrds, Led Zeppelin, Rod Stewart"
Blue Money - 1999 Remaster,Van Morrison,01/01/1970,3801766667,"Status Quo, Wishbone Ash, Roxy Music, Deep Purple"
Hole In My Shoe,Traffic,01/01/1967,0211-03-01,
Dark Star,Crosby,01/01/1977,4761766667,
Fire on the Mountain - 2013 Remaster,Grateful Dead,01/01/1978,3816816667,"Brian Eno, Genesis, Eagles, Alice Cooper"
I Like It,Foxy Shazam,01/01/2012,2667-01-13,
Tip Of My Tongue,Diesel,01/01/1992,1911-08-14,"Melissa Etheridge, The Diamonds, Green Day, Silverchair"
Twisting the Night Away,Audio Idols,01/01/2012,3275783333,
One Million Ways - Single Version,The Adults,01/01/2012,3371666667,the feelers
Cat's in the Cradle,Harry Chapin,01/01/1974,2917-05-12,"Gary Numan, Bob Marley & The Wailers"
99 Red Balloons,Nena,01/01/1984,3844433333,
Telstar,The Tornadoes,01/01/2014,3367-03-01,"Players Since Creation, Skyhooks"
The Bird and the Worm,The Used,01/01/2007,3750666667,Chris Cornell
Electric Avenue (Made Famous by Eddie Grant),Cardio Workout Crew,01/01/2011,3307266667,"Various Artists, ProSource Karaoke"
Bicycle Race - Remastered 2011,Queen,01/01/1978,2725-01-29,Tom Petty and the Heartbreakers
Hand in My Pocket - 2015 Remaster,Alanis Morissette,01/01/1995,3700216667,"Sublime, Pearl Jam, Aerosmith, The Offspring, Divinyls"
Feel Like I Do,Drowning Pool,01/01/2010,3552216667,Carl Perkins
Have You Seen Your Mother,The Rolling Stones,01/01/1967,2566666667,"The Music Machine, Small Faces, Hawkwind, Lee Michaels"
Good Lovin' - 2013 Remaster,Grateful Dead,01/01/1978,8557-04-01,"Lynyrd Skynyrd, Dire Straits, The Police, Aerosmith"
Into The Ocean,Blue October,01/01/2007,3993333333,"The White Stripes, Oasis, John Butler Trio, Sponge"
Oildale (Leave Me Alone),Korn,01/01/2010,4718216667,"Head Like A Hole, Little Richard, Interpol, Grand Funk Railroad, AFI"
Diamonds on the Soles of Her Shoes,Paul Simon,01/01/1986,5821333333,Queensrÿche
Born to Be Alive,Patrick Hernandez,01/01/1978,2758-06-25,"Billy Idol, AC/DC, Elvis Costello & The Attractions, Australian Crawl, The Greg Kihn Band"
Trapped Again,Southside Johnny And The Asbury Jukes,01/01/1976,2651-04-01,Triumph
Cathy's Clown,You Am I,01/01/1995,2417766667,"The Stone Roses, Van Halen, Archers Of Loaf, Dash Rip Rock, Hoodoo Gurus"
Dizzy Miss Lizzy - Remastered 2009,The Beatles,01/01/1965,2941766667,"Jimi Hendrix, Otis Redding, The Searchers, John Mayall"
Since I Don't Have You,Various Artists,01/01/2013,6475-02-01,"Dawes, INXS, King Gizzard & The Lizard Wizard, The Chats"
Ten Thousand Fists,Disturbed,01/01/2005,1909-09-03,"Feeder, Skindred, AFI, The Strokes"
Sweet Disposition,The Temper Trap,01/01/2009,1910-09-10,"Eddie Vedder, Madonna"
Prison Sex,TOOL,01/01/1993,4938666667,"Pantera, Seven Mary Three, Refused, Dinosaur Jr., (Hed) P.E."
Don't Stop,Chilliwack,01/01/1984,4058216667,"R.E.M., Jethro Tull"
Yankee Rose,David Lee Roth,01/01/1986,3911766667,"U2, White Lion"
Mercury Blues,Steve Miller Band,01/01/1976,7171-03-01,"Styx, Bachman-Turner Overdrive"
A New Day Yesterday - 2001 Remaster,Jethro Tull,01/01/1969,4148433333,"The Doors, Canned Heat, The Seeds"
Signals Over The Air,Thursday,01/01/2003,4.17,"Boards of Canada, Death From Above 1979"
Dreams I'll Never See,Molly Hatchet,01/01/1978,2025-01-07,"Uriah Heep, The Doobie Brothers, April Wine, Aerosmith, Madness"
Wah-Wah - Remastered 2014,George Harrison,01/01/1970,5629333333,"Led Zeppelin, The O'Jays"
Make You a Believer,Sass Jordan,01/01/1992,4716666667,"David Wilcox, Sepultura, Megadeth, Talisman"
Fooled Around And Fell In Love,Elvin Bishop,01/01/1975,2025-06-04,"Pink Floyd, Grateful Dead, Thin Lizzy, Ace Frehley, David Bowie"
Live It Up,Mental As Anything,01/01/1979,7971-03-01,"XTC, Ramones, Van Halen, Slade"
Darlene - Remaster,Led Zeppelin,01/01/1982,5111333333,"Whitesnake, Madness"
Oh! Sweet Nuthin' - 2015 Remaster,The Velvet Underground,01/01/1970,7419766667,Al Green
Kings And Queens,Thirty Seconds To Mars,01/01/2009,5794433333,"k.d. lang, Mumford & Sons, fun., OneRepublic"
Say,Low Level Flight,01/01/2007,2797-05-11,"Japanther, The Long Blondes, Luger Boa"
Thorn in My Side - Remastered Version,Eurythmics,01/01/1986,4223333333,
One - Single Version,Three Dog Night,01/01/1968,0971-03-01,"Yes, Janis Joplin, Elton John, Various Artists"
One Night in Bangkok,Murray Head,01/01/1980,3934433333,"Journey, Eagles"
Ready to Die,The Checks,01/01/2011,3417-03-01,"Ty Segall, Various Artists, City Boy"
Put the Message In the Box,World Party,01/01/1990,4274433333,"The Rolling Stones, Alice In Chains, Bush, Oasis"
Pinch Me,Barenaked Ladies,01/01/2000,4752666667,"blink-182, Nickelback, Pearl Jam"
I Honestly Love You,Olivia Newton-John,01/01/1998,4102433333,"Stereolab, The Tragically Hip, Tom Waits"
I Put A Spell On You,Creedence Clearwater Revival,01/01/1968,4529766667,"Steppenwolf, The Rolling Stones, The Beatles"
A Quick One,The Who,01/01/1966,1925-02-23,Cream
This Is The New Shit,Marilyn Manson,01/01/2003,4327766667,"Sum 41, AFI, My Chemical Romance"
Seven Bridges Road - Live; 1999 Remaster,Eagles,01/01/1980,3077333333,"April Wine, Billy Joel, KISS"
Black Balloon,The Goo Goo Dolls,01/01/1998,4158883333,The Strokes
Death or Glory - Remastered,The Clash,01/01/1979,3916666667,Billy Joel
Love You All,54-40,01/01/1996,4711-04-01,"Dwarves, Urge Overkill, Finger Eleven"
The People That We Love,Bush,01/01/2001,3003-04-02,"Diesel, Billy Talent, Slayer"
Even When I'm Sleeping,Leonardo's Bride,01/01/1996,9111-03-01,Blue Rodeo
The Violence of Action,Cairo Knife Fight,01/01/2011,5491-08-01,"Luger Boa, Japanther, Luger Boa"
Heart Of Stone - Stereo Version / Remastered 2002,The Rolling Stones,01/01/1965,2818216667,"The Left Banke, The Kinks"
White Lies,Grindhouse Hotel,01/01/2019,3278-03-30,"Various Artists, Various Artists, Various Artists, Various Artists"
Here It Goes Again,OK Go,01/01/2005,2996883333,
Well Enough Alone,Chevelle,01/01/2007,4314883333,"Anberlin, Alter Bridge"
I Just Want To Celebrate,Rare Earth,01/01/1971,1909-12-04,"Led Zeppelin, The Who, The Who, Grand Funk Railroad, T. Rex"
Wish You Well,Bernard Fanning,01/01/2005,2518883333,Grateful Dead
Gideon,My Morning Jacket,01/01/2005,6511-03-01,The Living End
How to Save a Life,The Fray,01/01/2005,3097-12-24,"Bonnie Tyler, Gorillaz, Maroon 5"
Take It So Hard - Live,Keith Richards,01/01/2020,4463333333,"The Rolling Stones, Amyl and The Sniffers, CID, Jimmy Barnes"
I Guess That's Why They Call It The Blues,Elton John,01/01/1983,3202-01-08,"Fleetwood Mac, Journey, Steve Winwood, Frankie Goes To Hollywood, Bryan Adams"
Hurting Kind (I've Got My Eyes on You) - 2006 Remaster,Robert Plant,01/01/1990,1911-06-17,"Cinderella, Hüsker Dü, Sonny Landreth, The La's"
Weeping Widow,April Wine,01/01/1973,9551-03-01,"Hot Chocolate, Heart, Hot Tuna, The Guess Who, Blondie"
R.O.C.K. In The U.S.A. (A Salute To 60's Rock),John Mellencamp,01/01/1985,1907-12-15,"Dio, Téléphone, Dire Straits, Living Colour"
Something So Strong,Crowded House,01/01/1986,2682-11-30,"Slade, Bad Brains, Material Issue"
Oh,Bad Company,01/01/1979,4093333333,Genesis
Hold On,Santana,01/01/1983,4350433333,Pink Floyd
Throwing Stones - 2013 Remaster,Grateful Dead,01/01/1987,7354816667,
Stay Free - Remastered,The Clash,01/01/1978,3676433333,"Mental As Anything, KISS, Mission Of Burma, Sammy Hagar, The Rolling Stones"
A Woman in Love (It's Not Me) - Live,Tom Petty and the Heartbreakers,01/01/2009,5710433333,"Long John Baldry, Blacklistt, Various Artists, lostprophets, Seether"
Right On Track,Breakfast Club,01/01/1987,4282433333,"Beastie Boys, Billy Idol, Depeche Mode, The Beatles"
I Know You Rider - Live in Paris,Grateful Dead,01/01/2001,5057333333,Doves
The Outsider,A Perfect Circle,01/01/2003,2025-01-04,
I Want Your Love,Transvision Vamp,01/01/1988,3498433333,"My Bloody Valentine, Blur, Accept, ZZ Top, Slade"
The Ballad of Billy the Kid,Billy Joel,01/01/1973,5729333333,
Down,Stone Temple Pilots,01/01/1999,1910-06-12,
Talk Talk,The Music Machine,01/01/1966,1968883333,"The Dave Clark Five, Small Faces"
Into the Night (feat. Chad Kroeger),Santana,01/01/2007,3707333333,"Nirvana, Crossfade"
Can't Get It out of My Head,Electric Light Orchestra,01/01/1974,4357766667,"Joe Jackson, Grateful Dead, Supertramp, Meat Loaf, Chicago"
Echo,Trapt,01/01/2002,3048-09-12,KISS
Judy Is a Punk - 2016 Remaster,Ramones,01/01/1976,1541333333,"KISS, Tom Petty and the Heartbreakers, Eagles, Van Halen"
The Kid Is Hot Tonite,Loverboy,01/01/1980,4482666667,"The Jim Carroll Band, AC/DC, Depeche Mode"
Jenny Says,Cowboy Mouth,01/01/1996,3376433333,
Shakin',Eddie Money,01/01/1983,3.13,"Big Country, W.A.S.P., Elvis Costello & The Attractions, Bad Company, Van Halen"
Hey Baby,No Doubt,01/01/2001,3450666667,"Idlewild, blink-182"
Not Fade Away - Mono Version,The Rolling Stones,01/01/1964,1795333333,"Ricky Nelson, Chuck Berry, Larry Williams, The Music Machine, The Kinks"
Make Me Wanna Die,The Pretty Reckless,01/01/2010,2975-04-28,"Silversun Pickups, The Black Keys"
High Fiving Mf (Live),Local H,01/01/2018,6334716667,
Don't Lose My Number - 2016 Remaster,Phil Collins,01/01/1985,8091-04-01,
I'll Be Here Awhile,311,01/01/2001,3494883333,Razorlight
Didn't Want to Fall in Love,the feelers,01/01/2011,3877333333,"Black Rebel Motorcycle Club, Yukon Blonde"
She Loves My Automobile,ZZ Top,01/01/1979,3851-02-01,
Dirt Room,Blue October,01/01/2009,1909-04-28,"Gillan, Mastodon, Nick Lowe, Filter"
