index,name,artist,release_date,length,featured_artists
4937,California - Demo,Phantom Planet,2001,3.258883333,Aerosmith
4938,Everybody Wants You - Remastered 1995,Billy Squier,1995,3.788883333,"The Avalanches, Ben Harper"
4939,Give It a Whirl - Live at Acropolis,Sivert Høyem,2017,5.681333333,"311, The Tornadoes"
4940,Amazing Journey,The Who,1969,5.070133333,"Eric Clapton, The Kinks, Bruce Springsteen, Free"
4941,Dirty Creature,Split Enz,1982,4.038883333,"Saga, Whitesnake, Ian Dury, R.E.M."
4942,Big Casino,Jimmy Eat World,2007,3.678883333,
4943,The Only Exception,Paramore,2009,4.460883333,"Lily Allen, Evanescence, Cream"
4944,Ain't No Cure For Love - Digitally Remastered,Jennifer Warnes,1987,3.36,"Tori Amos, Ian Dury, Bryan Adams, Jethro Tull"
4945,Gimme Back My Bullets,Lynyrd Skynyrd,1976,3.496666667,"John Lennon, New York Dolls, Blue Öyster Cult, Foreigner"
4946,Somebody's Baby,Jackson Browne,1997,4.378883333,"The Smashing Pumpkins, Soul Asylum, Aerosmith"
4947,Houdini,Foster The People,2011,3.374433333,
4948,All Along the Watchtower,Bob Dylan,1967,2.518216667,Three Dog Night
4949,Rock Me Amadeus - The Gold Mix,Falco,1985,3.3706,"Dio, Tears For Fears, George Thorogood & The Destroyers, Metallica"
4950,Southtown,P.O.D.,1999,4.120883333,Eve 6
4951,Blues Power,Eric Clapton,1970,3.146666667,"The Move, Roxy Music"
4952,Again,Flyleaf,2009,3.082,"Bon Jovi, Paramore, The Wombats, Pearl Jam, Billy Talent"
4953,Absolutely (Story of a Girl) - Radio Mix,Nine Days,2000,3.15555,"Stereophonics, The Ataris, Rammstein, Nine Inch Nails, Kings of Leon"
4954,James Dean - 2013 Remaster,Eagles,1974,3.637816667,
4955,Praise,Sevendust,2001,3.648216667,"Daughtry, Dropkick Murphys, The Beach Boys, DevilDriver"
4956,Alabama - 2009 Remaster,Neil Young,1972,4.036666667,"Small Faces, Humble Pie"
4957,Keep on Truckin',Hot Tuna,1972,3.67555,"James Gang, Stevie Wonder, KISS"
4958,The Zoo - 2015 Remaster,Scorpions,1980,5.507766667,"Rush, Little River Band, Dead Kennedys, Bruce Springsteen, Talking Heads"
4959,Thank You,HELLYEAH,2007,4.528433333,"The Guess Who, The Raconteurs, Slash, The Godfathers"
4960,Ukiah,The Doobie Brothers,1973,3.032216667,"Black Sabbath, Bad Company, Traffic, Steve Miller Band"
4961,Fresh Air - Remastered,Quicksilver Messenger Service,2007,5.326433333,Ozzy Osbourne
4962,On The Roof Again,Eve 6,2000,3.097766667,"Garbage, Hunters & Collectors"
4963,The First Cut Is the Deepest - Acoustic Version,Various Artists,2005,3.84955,Judy Collins
4964,Dear Mr. Fantasy,Big Sugar,2003,4.9911,Gillan
4965,Torn,Creed,1997,6.398883333,George Benson
4966,Walkin' The Dog,Aerosmith,1973,3.2051,"Steppenwolf, The Who"
4967,All My Fault,Fenix TX,1999,2.820666667,"Modest Mouse, Therapy?, Bon Jovi"
4968,No Surprise - Edit,Theory of a Deadman,2005,3.661783333,"T. Rex, Manic Street Preachers"
4969,Control,Mutemath,2006,4.655766667,
4970,Lost And Running,Powderfinger,2007,3.702666667,"Midnight Youth, Ben Harper, The Sounds, Black Rebel Motorcycle Club"
4971,You'll Accomp'ny Me,Bob Seger,1980,4.003766667,"Prince, Modern English, Pretenders"
4972,Superconductor - 2004 Remaster,Rush,1989,4.789766667,Def Leppard
4973,Riot,Three Days Grace,2006,3.459766667,"The Roots, Rise Against"
4974,Wildflower,Various Artists,2010,4.173333333,
4975,Cry Baby Cry - Remastered 2009,The Beatles,1968,3.034666667,
4976,I Am Mine,Pearl Jam,2002,3.588883333,
4977,Tv Dinners (Originally Performed by ZZ Top) [Vocal Version],Singer's Edge Karaoke,2014,3.823016667,Leonard Cohen
4978,Before You Accuse Me,Eric Clapton,1989,3.952,
4979,Long Time Running,The Tragically Hip,1991,4.384433333,
4980,Headlong Flight,Rush,2012,7.341333333,"Skyhooks, Suede"
4981,Baby Please Don't Go,The Amboy Dukes,1968,5.645316667,"Michael Jackson, Roxy Music, The Band"
4982,Pieces Of Eight,Styx,1978,4.73555,Supertramp
4983,Everything Falls Apart,Dog's Eye View,1995,3.902216667,"The Boo Radleys, The Mighty Mighty Bosstones, The Stone Roses"
4984,Take Me To The Pilot,Elton John,1970,3.7771,Led Zeppelin
4985,Driven To Tears,The Police,1980,3.342216667,"Bad Company, The Cure, The Firm"
4986,Standing in the Sun,Slash,2012,4.05955,"King Gizzard & The Lizard Wizard, Black Stone Cherry, SLIFT"
4987,Come On - Stereo Version,Chuck Berry,1962,1.783766667,"The Yardbirds, Larry Williams, Bo Diddley, The Rolling Stones"
4988,Weak And Powerless,A Perfect Circle,2003,3.252216667,Stabbing Westward
4989,Shadowplay,The Killers,2007,4.120666667,Manchester Orchestra
4990,Love Like Winter,AFI,2006,2.760883333,Stroke 9
4991,Gallows Pole - Remaster,Led Zeppelin,1970,4.965483333,"Hawkwind, Black Sabbath"
4992,You Don't Know How It Feels,Tom Petty,1994,4.824,"Portishead, Fun Lovin' Criminals, Marcy Playground"
4993,Wondrous Place,Billy Fury,1983,2.479333333,"Various Artists, Neil Diamond"
4994,Love In Vain,The Rolling Stones,1969,4.318433333,Cream
4995,It's A Hard Life - Remastered 2011,Queen,1984,4.116216667,"The Slits, Eagles, David Lee Roth"
4996,Jet City Woman - Remastered 2003,Queensrÿche,1990,5.35955,"INXS, Nirvana"
4997,Love Bites (So Do I),Halestorm,2012,3.188883333,
4998,Walk On - 2016 Remaster,Neil Young,1974,2.702,"Bob Dylan, Elton John, Aerosmith"
4999,Honey Hush - Johnny Burnette And The Rock And Roll Trio,Johnny Burnette & The Rock 'N' Roll Trio,2016,2.02975,"Doucette, My Morning Jacket"
5000,Drop Dead Legs - 2015 Remaster,Van Halen,1984,4.236666667,"Joy Division, Tom Petty and the Heartbreakers, The Clash"
5001,Simple Song,The Shins,2012,4.256666667,"Disturbed, All That Remains, Breaking Benjamin"
5002,Epiphany,Staind,2001,4.268883333,"Clyde McPhatter, Hello, Stereophonics, Blur, Zero 7"
5003,One Day in Your Life,54-40,1987,4.254883333,"Gowan, Saga, The Screaming Jets"
5004,Sweating Bullets - Remastered 2004,Megadeth,1992,5.450666667,"Pulp, Creed, Alice In Chains, Warrant"
5005,Jambi,TOOL,2006,7.476883333,"Bon Jovi, Dashboard Confessional, Audioslave, OneRepublic, Shinedown"
5006,Relay,The Who,2014,3.923416667,"Lucinda Williams, ORB, Players Since Creation, The Tornadoes"
5007,La Villa Strangiato,Rush,1978,9.578883333,
5008,Famous,Puddle Of Mudd,2007,3.27155,"U2, Trapt"
5009,Kid Charlemagne,Steely Dan,1976,4.646666667,"The Who, Blondie, AC/DC"
5010,Pretty Please,Verbena,1999,2.856,"Foo Fighters, Seven Channels"
5011,A Fool for Your Stockings,ZZ Top,1994,4.273316667,"Garbage, Lake Of Tears, Morrissey, Sting"
5012,Greedy Fly,Bush,2014,4.492216667,Ozzy Osbourne
5013,Blue and Yellow,The Used,2002,3.3571,"The Mock Turtles, Stereophonics, Incubus, Hot Action Cop"
5014,Survival,Muse,2012,4.2911,"Phil Collins, Alice In Chains, Various Artists"
5015,Dyers Eve (Remastered),Metallica,1988,5.217416667,"The Cure, Billy Idol"
5016,When Your Heart Stops Beating,44,2006,3.2131,"The Used, Muse, The Pretty Reckless, Linkin Park"
5017,29 Palms - 2006 Remaster,Robert Plant,1993,4.8651,"Counting Crows, Dada, Depeche Mode, Sublime, Bran Van 3000"
5018,An Old Fashioned Love Song,Three Dog Night,1993,3.844883333,"Don Henley, Imperiet, The Orb"
5019,Undertow,Warpaint,2010,5.8871,"Fats Domino, The Decemberists, Various Artists, Big Joe Turner, Cole Porter"
5020,Sucked Out,Superdrag,1996,2.78,"Beck, James Brown, Trio, Liz Phair, Pink Floyd"
5021,Halos of the Son,Fuel,2007,3.47355,
5022,Whiskey Hangover,Godsmack,2010,3.788433333,Slayer
5023,Plastic Man - Mono Mix,The Kinks,1969,3.082666667,"Lou Reed, Hawkwind, The Music Machine"
5024,Jim Dandy,Black Oak Arkansas,1973,2.691766667,"Led Zeppelin, Alice Cooper"
5025,Moonlight Drive,The Doors,1967,3.022433333,"The Stooges, The Beach Boys"
5026,Boys Keep Swinging - 2017 Remaster,David Bowie,1979,3.308433333,"The Tubes, Blondie"
5027,Plans,Birds Of Tokyo,2010,3.648,
5028,Promised You A Miracle - Remastered 2002,Various Artists,2020,4.480433333,
5029,Welcome to the Fold,Filter,1999,7.673333333,"Oasis, Jefferson Airplane"
5030,Knock Down Walls,Tonic,1999,3.762666667,"54-40, Black Rebel Motorcycle Club"
5031,It's So Easy,Buddy Holly,1974,2.17555,
5032,Monster,Skillet,2009,2.966883333,"Stone Sour, The Offspring, Linkin Park, Muse, Muse"
5033,Mourning,Tantric,2001,4.347766667,"311, The Tragically Hip, Morrissey"
5034,(Rock) Superstar,Cypress Hill,2000,4.614433333,"Alanis Morissette, Powderfinger, The Specials, Oleander, The Killers"
5035,Give Me A Sign,Breaking Benjamin,2009,4.294883333,"A Flock Of Seagulls, Queens of the Stone Age, The Raconteurs, The Wombats, The Walkmen"
5036,Hurdy Gurdy Man,Donovan,1968,3.224433333,
5037,Slave - Remastered,The Rolling Stones,1981,6.546666667,
5038,Who Said You're Free,Midnight Youth,2011,3.136666667,"Various Artists, Chris Domingo"
5039,Pop Song 89 - Remastered,R.E.M.,1988,3.082216667,
5040,"Playing in the Band - Live at Manhattan Center, New York, NY, April 6, 1971",Grateful Dead,1971,4.648883333,"Lou Reed, The Who, Foghat, Bad Company, The Who"
5041,Love Is Alive,Gary Wright,1975,3.8351,"Lynyrd Skynyrd, Earth, Wind & Fire"
5042,Get Off This,Cracker,1993,4.433333333,"Sleater-Kinney, Nirvana"
5043,Don't Forget Me (When I'm Gone),Glass Tiger,1986,4.137333333,Téléphone
5044,Hey Pretty,Poe,2004,3.760433333,
5045,...To Be Loved,Papa Roach,2006,3.035333333,"Our Lady Peace, Audioslave"
5046,Love Ain't For Keeping,The Who,1971,2.178666667,"Rush, Chicago, Tommy James & The Shondells"
5047,Outlook For Thursday - Live,DD Smash,1983,4.660183333,"Nazareth, Joy Division, Paul Kelly & The Coloured Girls"
5048,Undead,Hollywood Undead,2008,4.41755,"Yeah Yeah Yeahs, Shinedown, John Lennon, Disturbed"
5049,Heaven Is a Halfpipe (If I Die),OPM,2000,4.290433333,"Midnight Oil, Marilyn Manson, 10 Years, Arcade Fire, Social Distortion"
5050,The Ghost Song,The Doors,1978,5.265333333,"Eagles, Chicago, Styx, Fleetwood Mac"
5051,Lost!,Coldplay,2008,3.936883333,
5052,Farm on the Freeway - 2005 Remaster,Jethro Tull,1987,6.517766667,"Red Rider, Honeymoon Suite"
5053,The Untouchable One,Tom Cochrane,1986,4.530666667,R.E.M.
5054,Why Can't I Be You?,The Cure,1987,3.23555,
5055,I've Got a Rock 'N' Roll Heart,Eric Clapton,1983,3.2231,KISS
5056,Cold Beverage,G. Love & Special Sauce,1994,2.564883333,"Bush, Cowboy Mouth"
5057,Tighten Up,The Black Keys,2010,3.518,"AC/DC, Thirty Seconds To Mars, Alabama Shakes"
5058,Whatever,Oasis,1994,6.3711,"Tom Cochrane, Shihad, Shootyz Groove, Angus, Supergroove"
5059,Red White & Blue,Lynyrd Skynyrd,2003,5.526,
5060,"Swing, Swing",The All-American Rejects,2002,3.887766667,
5061,Darlin' - 2011 Remaster,Frankie Miller,1979,3.073566667,"Styx, Elton John, Bachman-Turner Overdrive, Genesis"
5062,I've Got Friends,Manchester Orchestra,2009,4.958216667,Disturbed
5063,Zoot Suit Riot,Cherry Poppin' Daddies,1997,3.883983333,"The Flys, Morrissey, The Lemonheads, Badly Drawn Boy, Fuel"
5064,Half the World Away,Oasis,1994,4.45555,"Gary Moore, The Go-Betweens, April Wine, John Denver"
5065,Salt Of The Earth - 50th Anniversary Edition,The Rolling Stones,1968,4.82555,"The Kinks, The Troggs, Jimi Hendrix, Sly & The Family Stone"
5066,Tight Rope,Leon Russell,1972,3.016666667,"Steely Dan, The Guess Who, The Doobie Brothers, Crosby, Stills, Nash & Young, Grateful Dead"
5067,Colors,Crossfade,2004,3.308883333,Amy Winehouse
5068,Down On Me,Big Brother & The Holding Company,1967,2.079333333,Wishbone Ash
5069,Middle of Nowhere,Hot Hot Heat,2005,4.022216667,
5070,Better Days (And the Bottom Drops Out),Citizen King,1999,3.450433333,"Kings of Leon, Skunk Anansie, The Beatles, The Offspring, Dog's Eye View"
5071,Too Drunk (as made famous by Buckcherry),The Rock Heroes,2008,3.944116667,
5072,Giving In,Adema,2001,4.578883333,"Mudvayne, The Smashing Pumpkins, P.O.D., Rancid"
5073,Superstition - Live,Stevie Ray Vaughan,2002,4.680433333,
5074,"Battle of Who Could Care Less - Live at Sony Music Studios, New York, NY - June 1997",Ben Folds Five,2001,3.42,"Pilot Speed, Ima Robot"
5075,Keep Playin' That Rock 'n' Roll,Edgar Winter,1971,3.73,"Lou Reed, Little Richard, CAN"
5076,You Are The One - Adam Freeland Remix,Shiny Toy Guns,2009,3.956433333,"the feelers, The King Khan & BBQ Show, Army of Anyone"
5077,Faithless,Injected,2001,3.3471,
5078,The Continuing Story Of Bungalow Bill - Remastered 2009,The Beatles,1968,3.236,
5079,You Freak Me,Supergroove,1994,4.322216667,"Sleater-Kinney, Moist, Angus, Mitch Ryder and The Detroit Wheels"
5080,That Song,Big Wreck,2018,5.081766667,"Raze, The Spencer Davis Group, The Rolling Stones"
5081,We Can Get Together - Live,ICEHOUSE,2015,4.308566667,"Thee Oh Sees, Villainy, The Rolling Stones, Jimi Hendrix"
5082,I Don't Know,Ozzy Osbourne,2020,5.253583333,"Basement, The Chats, King Gizzard & The Lizard Wizard, Primal Scream"
5083,Here To Stay,Korn,2002,4.516,"Crossfade, The Flaming Lips"
5084,Heaven Knows - 2006 Remaster,Robert Plant,2007,4.090883333,"Blindspott, The Fray, Poe"
5085,Dog Days,Sidecar Radio,2007,3.48755,
5086,Little Guitars - 2015 Remaster,Van Halen,1982,3.793833333,"The Smiths, Bananarama"
5087,Work,Jimmy Eat World,2004,3.391766667,"Scissor Sisters, Big Sugar"
5088,Why I'm Here,Oleander,1999,3.968216667,"Various Artists, Portishead"
5089,Getting Better - Remastered 2009,The Beatles,1967,2.802,"The Doors, The Velvet Underground"
5090,Never Going Back Again - 2004 Remaster,Fleetwood Mac,1977,2.24,
5091,Roll with the Changes,REO Speedwagon,1978,5.5971,ABBA
5092,No Way Back,Foo Fighters,2005,3.276216667,"Marilyn Manson, Muse, Barry Manilow"
5093,Comin' Right Down on Top of Me,April Wine,1989,4.176666667,"Oasis, Bryan Adams, Lillian Axe, Bad Company, Gary Moore"
5094,Big Shot,Billy Joel,1978,4.058216667,"ABBA, Electric Light Orchestra, Little Feat, Supertramp"
5095,Victim of Love - 2013 Remaster,Eagles,1976,4.16815,"The B-52's, Black Sabbath, John Lennon, Linda Ronstadt"
5096,Pigs (Three Different Ones),Pink Floyd,1977,11.43133333,"Foghat, Rush, Curtis Mayfield"
5097,Life Less Frightening,Rise Against,2004,3.73355,
5098,Here Comes My Girl,Tom Petty and the Heartbreakers,1979,4.40755,U2
5099,Trip Through Your Wires - Remastered 2007,U2,1987,3.530216667,"Blue Rodeo, Crowded House"
5100,You Wanted More,Tonic,1999,3.8851,"The Hives, Sevendust, The Hellacopters, Oasis, U2"
5101,Ocean Breathes Salty,Modest Mouse,2004,3.738883333,Radiohead
5102,Hide In Your Shell - Remastered,Supertramp,1974,6.831483333,"The Motels, Neil Young"
5103,It Wasn't Me,George Thorogood & The Destroyers,2003,4.05355,"Tadpole, Busted, Lit, The New Pornographers"
5104,If I Had My Way,Big Sugar,2020,5.227333333,
5105,Get Ready - Single Version,Rare Earth,2005,2.778433333,
5106,Breathe,Seven Channels,2001,3.786,"Guns N' Roses, Afa, Turin Brakes, A Change of Pace, Army of Anyone"
5107,The Soft Parade,The Doors,1969,8.577333333,"Canned Heat, Rod Stewart, Black Sabbath"
5108,Rodeo Clowns,G. Love & Special Sauce,1999,2.943333333,
5109,I Can't Quit You Baby - 1990 Remaster,Led Zeppelin,1969,4.7071,"The Beatles, Lou Reed, Santana, Van Morrison"
5110,Rock & Roll Woman,Buffalo Springfield,1967,2.77555,"Eric Clapton, Michael Jackson"
5111,Take It Off,The Donnas,2003,2.699983333,"Hot Hot Heat, HELLYEAH, Dave Matthews Band, Radiohead, Green Day"
5112,Stand Inside Your Love,The Smashing Pumpkins,2000,4.24155,Korn
5113,Fire And Water,Free,1970,3.996,The Velvet Underground
5114,History Of A Boring Town,Less Than Jake,1998,3.368433333,"Placebo, Marilyn Manson"
5115,Hooch,Everything,2006,3.66405,
5116,No Surrender,Bruce Springsteen,1984,4.002433333,"Dead Kennedys, Dead Kennedys, Stiff Little Fingers, Misfits, The Replacements"
5117,What It Is To Burn - New Version,Finch,2002,4.483766667,
5118,Your Mama Don't Dance,Poison,1988,3.008216667,"Nirvana, R.E.M., Kylie Minogue, Twisted Sister"
5119,Well All Right,Santana,1978,4.163333333,
5120,When The Weight Comes Down,The Tragically Hip,1989,4.746666667,"Little River Band, Baby Animals, Roxette, Bonnie Tyler"
5121,Zip-Lock,Lit,1999,3.54155,"Weezer, Slayer, Saliva, Aerosmith, Iron Maiden"
5122,My Doorbell,The White Stripes,2005,4.030666667,"Grand Funk Railroad, Velvet Revolver, Delta Goodrem, HELLYEAH, Opshop"
5123,Two Weeks,All That Remains,2008,4.2891,
5124,She Loves Me Not,Papa Roach,2002,3.492866667,"Transplants, Sum 41, Foo Fighters, Incubus, Chris Cornell"
5125,I've Just Seen A Face - Remastered 2009,The Beatles,1965,2.084,Creedence Clearwater Revival
5126,Crash And Burn,Pat Travers,1980,5.343333333,"Brian Eno, Todd Rundgren, Straight Lines, Heart"
5127,Sister Havana,Urge Overkill,1993,3.846666667,Archers Of Loaf
5128,They Say,Daron Malakian and Scars On Broadway,2008,2.79955,"Steriogram, Disturbed, Incubus"
5129,Virtual Insanity - Remastered,Jamiroquai,2006,3.822666667,"Arctic Monkeys, Marilyn Manson, Slipknot, Breaking Benjamin"
5130,How About You,Staind,2003,3.9611,
5131,Hey Tonight,Creedence Clearwater Revival,1970,2.728433333,"Deep Purple, Led Zeppelin"
5132,Leader of Men,Nickelback,1999,3.514,"Lloyd Price, the feelers, Spoon"
5133,My Generation,Limp Bizkit,2000,3.683333333,The Hives
5134,Hit Or Miss,New Found Glory,1999,3.262,"Sepultura, Interpol, No Doubt, Foo Fighters, The Smashing Pumpkins"
5135,Burn,Papa Roach,2010,3.4291,"Halestorm, Alexisonfire, P.O.D., Keane, Cage The Elephant"
5136,Jars,Chevelle,2009,3.33,"Incubus, Korn, Hollywood Undead"
5137,Wait Until Tomorrow,Jimi Hendrix,1967,3.042433333,"Genesis, Black Sabbath, The Association"
5138,Mable,Goldfinger,1996,2.323766667,"Oasis, 54-40, Manic Street Preachers, HIM"
5139,One More Minute,Authority Zero,2002,6.474433333,"Dave Matthews Band, Rise Against, Elemeno P"
5140,Sunny Days,lighthouse,1972,4.27355,"The Guess Who, Spirit, Steely Dan, Allman Brothers Band, Crosby, Stills & Nash"
5141,Heard It on the X - 2005 Remaster,ZZ Top,1975,2.41355,"The Who, Jeff Beck, The Stooges, Bruce Springsteen, Foreigner"
5142,These Living Arms,The Tea Party,1999,5.0871,"Schtum, Jimmy Barnes, Motor Ace, Public Image Ltd., Ebba Grön"
5143,Hell,Squirrel Nut Zippers,2002,3.216216667,Silverchair
5144,I'm Looking Through You - Remastered 2009,The Beatles,1965,2.439766667,"Roy Orbison, Creedence Clearwater Revival, The Rolling Stones, The Young Rascals"
5145,Feed The Machine,Red,2011,5.182,"Switchfoot, Sponge, King Gizzard & The Lizard Wizard, Mastodon, Metric"
5146,Freak of the Week,Marvelous 3,1998,3.344,"Breaking Benjamin, Ozzy Osbourne"
5147,"Girl, You'll Be A Woman Soon",Neil Diamond,1968,3.004216667,"Led Zeppelin, Manfred Mann"
5148,Nobody's Real,Powerman 5000,1999,2.913333333,"Sonny Landreth, Diesel"
5149,I Don't Want to Know - 2004 Remaster,Fleetwood Mac,1977,3.280883333,"Led Zeppelin, Lynyrd Skynyrd, Genesis, George Harrison, Rainbow"
5150,Drinking in L.A.,Bran Van 3000,1997,3.934433333,"K's Choice, Kasey Chambers"
5151,Moss-Haired Girl,Clap Clap Riot,2012,3.674,Country Joe & The Fish
5152,A Criminal Mind,Gowan,1985,7.35,
5153,Sleep Walk,Various Artists,2012,2.422216667,"Elvis Presley, The Avett Brothers"
5154,Vienna,Billy Joel,1977,3.570666667,Jimmy Buffett
5155,Iron Boots,Rustic Overtones,1998,5.598883333,"Super Furry Animals, Starlight Mints, Luke Haines, Matthew Sweet, Seigmen"
5156,Some Heads Are Gonna Roll - Remastered,Judas Priest,1984,4.100883333,"Saxon, Chuck Berry, Crowded House, Minor Threat, Talking Heads"
5157,Insomnia - Remastered,Megadeth,1999,4.266,"Goldfinger, Nightwish, Sleater-Kinney"
5158,Queen of the Highway,The Doors,1970,2.786666667,"Jethro Tull, Bob Dylan, The Band, Loggins & Messina, CAN"
5159,In The Morning,Razorlight,2006,3.70755,Santana
5160,Too Rolling Stoned - 2007 Remaster,Robin Trower,1974,7.53155,"Joe Cocker, The Jam, Lynyrd Skynyrd"
5161,The Devil Went Down to Georgia,The Charlie Daniels Band,1979,3.584433333,"Bronski Beat, Pink Floyd, Grateful Dead"
5162,Try - Remastered 2012 version,Blue Rodeo,1987,4.083333333,
5163,Stadium Arcadium,Red Hot Chili Peppers,2006,5.246216667,"The Sheepdogs, Arcade Fire"
5164,Harmony In My Head - 2001 Remastered Version,Buzzcocks,1979,3.130666667,"Germs, Ramones, KISS, Deep Purple"
5165,Entertain Me,Soft Cell,1981,3.582216667,"Split Enz, Bad Company"
5166,Lost Control,Grinspoon,2005,3.502216667,Dogs Die In Hot Cars
5167,Backstabber,The Dresden Dolls,2006,4.19555,"The Weakerthans, Nick Lowe"
5168,The Needle And The Spoon,Lynyrd Skynyrd,1974,3.893333333,"The Doobie Brothers, Eagles, Molly Hatchet, Led Zeppelin, Fleetwood Mac"
5169,Watcha Gonna Do,Chilliwack,1988,4.278,
5170,Don't Want to Know If You Are Lonely,Hüsker Dü,1986,3.514433333,
5171,Curl of the Burl,Mastodon,2011,3.668883333,
5172,"Another Park, Another Sunday",The Doobie Brothers,1974,4.450483333,"Gram Parsons, The Band, Curtis Mayfield, Led Zeppelin, Kenny Loggins"
5173,The Ballad of Mona Lisa,Panic! At The Disco,2011,3.778,"The Kooks, Young the Giant, Arctic Monkeys"
5174,"Thunder And Lightning - 7"" Edit",Thin Lizzy,2020,3.358666667,"Cold Chisel, Amparanoia, Black Rebel Motorcycle Club, The Tea Party"
5175,Roll On,The Living End,2000,3.143966667,"Iron Maiden, Ted Leo and the Pharmacists, Sponge"
5176,Stay,Hurts,2011,3.92,
5177,Fall Down,Toad The Wet Sprocket,1994,3.373766667,They Might Be Giants
5178,Footstompin' Music,Grand Funk Railroad,2006,3.775333333,"The Mutton Birds, The Raconteurs, Foo Fighters, Boards of Canada"
5179,Nobody Does It Better,Various Artists,1977,3.544433333,"Bonnie Tyler, Bob Seger, Supertramp"
5180,It's Saturday,Marcy Playground,1999,3.257766667,"Hunters & Collectors, Everclear, Pet Shop Boys"
5181,Lonely Train,Black Stone Cherry,2006,3.8451,"Unwritten Law, Coldplay"
5182,Blue Day,Mi-Sex,1983,4.194966667,
5183,Blue Flower,Mazzy Star,1990,3.590666667,"Gary Moore, The Black Sorrows, The Tragically Hip, Heart"
5184,Shock The Monkey,Peter Gabriel,1982,5.474,"Genesis, Russell Morris, Heart"
5185,Wave Babies,Honeymoon Suite,1984,4.3771,"Talking Heads, Siouxsie and the Banshees, Colin James, Oingo Boingo, Kingdom Come"
5186,"Too Much, Too Young, Too Fast",Airbourne,2007,3.746216667,Death Cab for Cutie
5187,Black Rain,Soundgarden,2010,5.430216667,"Metric, The Hellacopters, One Self, Redlight King"
5188,Chained To The Wheel,The Black Sorrows,1988,3.958883333,"Tom Petty and the Heartbreakers, The Cure, Steve Perry, INXS, The Church"
5189,Rise Today,Alter Bridge,2007,4.35665,"Alice In Chains, Metric"
5190,Give Me Love (Give Me Peace On Earth),George Harrison,1973,3.594883333,"Lou Reed, AC/DC, Elton John"
5191,Devil Ride,Tracer,2011,3.700433333,"Reggae Karaoke Lions, I Am Giant, Villainy, Shiny Toy Guns, Train"
5192,Superman's Song,Crash Test Dummies,1991,4.52015,"Talk Talk, PJ Harvey, John Farnham, Imperiet"
5193,Righteously,Lucinda Williams,2003,4.637766667,
5194,Everything's Coming Our Way,Santana,1971,3.253333333,"Black Sabbath, Deep Purple, Grateful Dead, The Beach Boys"
5195,"Hey, Soul Sister",Train,2009,3.6111,Luger Boa
5196,Lydia,Fur Patrol,2000,4.263766667,"DeVotchKa, Blur, Clyde McPhatter, Leonardo's Bride"
5197,Why Can't I?,Liz Phair,2003,3.472666667,"The Flaming Lips, Weezer, Puddle Of Mudd, Counting Crows, The Mutton Birds"
5198,Dogs Of Lust,The The,1993,3.147766667,
5199,I Want You So Hard (Boy's Bad News) - Live,Eagles Of Death Metal,2017,2.79985,I Am Giant
5200,Don't Take Me Alive,Steely Dan,1976,4.272666667,
5201,Chain Reaction,Journey,1983,4.322,"The Power Station, David Lindley"
5202,Believe In Me,Lenny Kravitz,2001,4.682883333,Unwritten Law
5203,Closer to Fine,Indigo Girls,1989,4.026666667,"Stevie Ray Vaughan, The Gregg Allman Band, Aerosmith"
5204,The Sun Always Shines on T.V.,a-ha,1985,5.04,"U2, Iron Maiden, Ozzy Osbourne, Social Distortion"
5205,Ça (c'est vraiment toi) - Remasterisé en 2015,Téléphone,1982,4.476,Duran Duran
5206,Allentown,Billy Joel,1982,3.836,"The Smiths, ABC"
5207,Sweet City Woman,Stampeders,1971,3.4571,Supertramp
5208,Here Is Gone,The Goo Goo Dolls,2002,3.96955,"Coldplay, Badly Drawn Boy, Electric Wizard, Pearl Jam, Belle & Sebastian"
5209,Stupid Girl (Only In Hollywood),Saving Abel,2010,4.310666667,"Thee Oh Sees, The Fray, Midnight Youth, Minus the Bear, Weezer"
5210,Bury Me Alive,We Are The Fallen,2010,4.777333333,"Jimmy Barnes, Halestorm, Seether, The Killers, Beck"
5211,White Sky,Vampire Weekend,2010,2.977766667,
5212,I hennes sovrum,Imperiet,1988,2.71,
5213,The Cedar Room,Doves,2000,7.648883333,
5214,Diamond Eyes,Deftones,2010,3.137766667,Pat Benatar
5215,Foolin',Def Leppard,1983,4.568616667,"AC/DC, Modern English, Led Zeppelin"
5216,Maybe,Sick Puppies,2009,3.420883333,lostprophets
5217,Rock It,Little Red,2010,3.502666667,
5218,Outlaw Man - 2013 Remaster,Eagles,1973,3.557166667,
5219,The Things I Love In You - 2011 Remastered,Cold Chisel,2018,3.342333333,
5220,Get Out Of Denver - Live In Detroit/1975,Bob Seger,1976,5.337333333,"The Stooges, Bruce Springsteen, Yes, Joe Jackson"
5221,Spin,Lifehouse,2002,4.86,"The Tragically Hip, The Datsuns, Our Lady Peace, Staind"
5222,Medicate,AFI,2009,4.346,
5223,Slippin’ And Slidin’ (Peepin’ And Hidin’),Little Richard,1957,2.696433333,"Bill Haley & His Comets, Elvis Presley"
5224,Heterosexual Man,Odds,1993,3.538883333,"Better Than Ezra, Garbage, Deee-Lite, Kingdom Come"
5225,Flying High Again,Ozzy Osbourne,1981,4.7351,"Eurythmics, Metallica, The Cars, Rainbow, Van Halen"
5226,Scarecrows,One Bad Son,2012,4.365983333,Saving Abel
5227,What's Left of the Flag,Flogging Molly,2002,3.649333333,
